,random_searchs,output_column,patience,sampling_rate,days_in_future,division_perc,epochs,save_model_path,save_result_path,columns_to_drop,n_layers,drop_out,batch_size,length,learning_rate,evaluation,model,history,model_name
0,15,['PM 2.5'],15,1,1,"(0.6, 0.2, 0.2)",100,/home/gabriel-gatti/Documents/air_pollution_forecast/models/,/home/gabriel-gatti/Documents/air_pollution_forecast/resultados/,"['Latitude', 'Longitude']",2,0.0,32,25,0.005308062860303903,"[0.2522518038749695, 6493.84033203125, 0.5624611973762512, 0.8592919707298279]","{""class_name"": ""Sequential"", ""config"": {""name"": ""sequential"", ""layers"": [{""class_name"": ""InputLayer"", ""config"": {""batch_input_shape"": [null, 25, 8], ""dtype"": ""float32"", ""sparse"": false, ""ragged"": false, ""name"": ""input_1""}}, {""class_name"": ""LSTM"", ""config"": {""name"": ""lstm"", ""trainable"": true, ""dtype"": ""float32"", ""return_sequences"": false, ""return_state"": false, ""go_backwards"": false, ""stateful"": false, ""unroll"": false, ""time_major"": false, ""units"": 6, ""activation"": ""tanh"", ""recurrent_activation"": ""sigmoid"", ""use_bias"": true, ""kernel_initializer"": {""class_name"": ""GlorotUniform"", ""config"": {""seed"": null}}, ""recurrent_initializer"": {""class_name"": ""Orthogonal"", ""config"": {""gain"": 1.0, ""seed"": null}}, ""bias_initializer"": {""class_name"": ""Zeros"", ""config"": {}}, ""unit_forget_bias"": true, ""kernel_regularizer"": null, ""recurrent_regularizer"": null, ""bias_regularizer"": null, ""activity_regularizer"": null, ""kernel_constraint"": null, ""recurrent_constraint"": null, ""bias_constraint"": null, ""dropout"": 0.0, ""recurrent_dropout"": 0.0, ""implementation"": 2}}, {""class_name"": ""Dense"", ""config"": {""name"": ""dense"", ""trainable"": true, ""dtype"": ""float32"", ""units"": 1, ""activation"": ""tanh"", ""use_bias"": true, ""kernel_initializer"": {""class_name"": ""GlorotUniform"", ""config"": {""seed"": null}}, ""bias_initializer"": {""class_name"": ""Zeros"", ""config"": {}}, ""kernel_regularizer"": null, ""bias_regularizer"": null, ""activity_regularizer"": null, ""kernel_constraint"": null, ""bias_constraint"": null}}]}, ""keras_version"": ""2.4.0"", ""backend"": ""tensorflow""}","{""loss"": [0.20936858654022217, 0.20584425330162048, 0.20461930334568024, 0.20423369109630585, 0.20426015555858612, 0.20362530648708344, 0.20362526178359985, 0.20333760976791382, 0.2033577710390091, 0.20254774391651154, 0.20249487459659576, 0.20266108214855194, 0.2026662677526474, 0.20266850292682648, 0.20294266939163208, 0.2028861939907074], ""mape"": [4846.74560546875, 4734.5830078125, 4674.40185546875, 4618.60546875, 4708.43408203125, 4598.36865234375, 4636.99853515625, 4682.74755859375, 4682.115234375, 4655.66064453125, 4692.01123046875, 4669.7265625, 4719.8671875, 4646.51171875, 4670.8984375, 4648.03173828125], ""mae"": [0.46834588050842285, 0.462938517332077, 0.4609762728214264, 0.46043509244918823, 0.4606838524341583, 0.4596136510372162, 0.4595782160758972, 0.4591582119464874, 0.45911508798599243, 0.45814749598503113, 0.4580290913581848, 0.4582800269126892, 0.4582447409629822, 0.4582167863845825, 0.45854324102401733, 0.4585309624671936], ""root_mean_squared_error"": [0.9038065671920776, 0.8982756733894348, 0.8965781927108765, 0.8959144353866577, 0.8958981037139893, 0.8950935006141663, 0.894894003868103, 0.8942456245422363, 0.8945474028587341, 0.8925909996032715, 0.8926053643226624, 0.8931484222412109, 0.8929741382598877, 0.8928321003913879, 0.8931483626365662, 0.8930608034133911], ""val_loss"": [0.18594242632389069, 0.19868382811546326, 0.19645433127880096, 0.21923847496509552, 0.2002752274274826, 0.20403173565864563, 0.22002846002578735, 0.21452364325523376, 0.2234610915184021, 0.20931285619735718, 0.20734232664108276, 0.20502126216888428, 0.1985701620578766, 0.19709226489067078, 0.19324465095996857, 0.19303776323795319], ""val_mape"": [6022.3544921875, 6064.166015625, 6086.00830078125, 6234.13525390625, 6252.462890625, 6477.8642578125, 6854.125, 7558.25341796875, 7583.29345703125, 8251.009765625, 8416.0927734375, 8082.25830078125, 7677.37451171875, 7979.8046875, 7871.96728515625, 8283.328125], ""val_mae"": [0.4616495668888092, 0.4893427789211273, 0.4830077588558197, 0.5267913341522217, 0.48381271958351135, 0.48714637756347656, 0.5139811635017395, 0.5052957534790039, 0.5194777846336365, 0.49024930596351624, 0.487130343914032, 0.4837487041950226, 0.474890798330307, 0.47135069966316223, 0.464588463306427, 0.46473416686058044], ""val_root_mean_squared_error"": [0.7408897876739502, 0.7573248147964478, 0.755109429359436, 0.7838961482048035, 0.7623826265335083, 0.7699686288833618, 0.792159378528595, 0.7841587662696838, 0.7967832684516907, 0.7811200618743896, 0.7776063084602356, 0.7742337584495544, 0.7643447518348694, 0.7633019089698792, 0.7567291855812073, 0.7562160491943359]}",MODEL_21mai11-23h56m56s_#LearningRate=0.005308_#Layers=2_#Length=25_#BatchSize=32
1,15,['PM 2.5'],15,1,1,"(0.6, 0.2, 0.2)",100,/home/gabriel-gatti/Documents/air_pollution_forecast/models/,/home/gabriel-gatti/Documents/air_pollution_forecast/resultados/,"['Latitude', 'Longitude']",2,0.0,128,25,0.0004593496041103308,"[0.22690248489379883, 6041.9892578125, 0.502012312412262, 0.8429462909698486]","{""class_name"": ""Sequential"", ""config"": {""name"": ""sequential_1"", ""layers"": [{""class_name"": ""InputLayer"", ""config"": {""batch_input_shape"": [null, 25, 8], ""dtype"": ""float32"", ""sparse"": false, ""ragged"": false, ""name"": ""input_2""}}, {""class_name"": ""LSTM"", ""config"": {""name"": ""lstm_1"", ""trainable"": true, ""dtype"": ""float32"", ""return_sequences"": false, ""return_state"": false, ""go_backwards"": false, ""stateful"": false, ""unroll"": false, ""time_major"": false, ""units"": 6, ""activation"": ""tanh"", ""recurrent_activation"": ""sigmoid"", ""use_bias"": true, ""kernel_initializer"": {""class_name"": ""GlorotUniform"", ""config"": {""seed"": null}}, ""recurrent_initializer"": {""class_name"": ""Orthogonal"", ""config"": {""gain"": 1.0, ""seed"": null}}, ""bias_initializer"": {""class_name"": ""Zeros"", ""config"": {}}, ""unit_forget_bias"": true, ""kernel_regularizer"": null, ""recurrent_regularizer"": null, ""bias_regularizer"": null, ""activity_regularizer"": null, ""kernel_constraint"": null, ""recurrent_constraint"": null, ""bias_constraint"": null, ""dropout"": 0.0, ""recurrent_dropout"": 0.0, ""implementation"": 2}}, {""class_name"": ""Dense"", ""config"": {""name"": ""dense_1"", ""trainable"": true, ""dtype"": ""float32"", ""units"": 1, ""activation"": ""tanh"", ""use_bias"": true, ""kernel_initializer"": {""class_name"": ""GlorotUniform"", ""config"": {""seed"": null}}, ""bias_initializer"": {""class_name"": ""Zeros"", ""config"": {}}, ""kernel_regularizer"": null, ""bias_regularizer"": null, ""activity_regularizer"": null, ""kernel_constraint"": null, ""bias_constraint"": null}}]}, ""keras_version"": ""2.4.0"", ""backend"": ""tensorflow""}","{""loss"": [0.2596188187599182, 0.2208860069513321, 0.21477316319942474, 0.21295396983623505, 0.21191711723804474, 0.2112278789281845, 0.2106599360704422, 0.21035002171993256, 0.20996136963367462, 0.2095925211906433, 0.20937082171440125, 0.2091134637594223, 0.20884926617145538, 0.20858357846736908, 0.20832981169223785, 0.2082066386938095, 0.20799632370471954, 0.20787501335144043, 0.20775675773620605, 0.20764195919036865, 0.20741330087184906, 0.20726048946380615, 0.20714955031871796, 0.20709525048732758, 0.20698414742946625, 0.20663617551326752, 0.20689448714256287, 0.20680519938468933, 0.20673538744449615, 0.2067306637763977, 0.20652896165847778, 0.20648038387298584, 0.2065773606300354, 0.2065347135066986, 0.2068200409412384, 0.2067452222108841, 0.20673085749149323, 0.20663730800151825, 0.20664529502391815, 0.20659597218036652, 0.20645040273666382, 0.20618122816085815, 0.2062917947769165, 0.20631571114063263, 0.20609600841999054, 0.2061924785375595], ""mape"": [4855.16455078125, 4973.70361328125, 4888.564453125, 4831.9208984375, 4814.8955078125, 4761.322265625, 4777.2314453125, 4765.84716796875, 4729.54443359375, 4669.69140625, 4614.72509765625, 4667.1357421875, 4644.74267578125, 4646.275390625, 4634.89794921875, 4626.1923828125, 4618.39501953125, 4613.13720703125, 4607.34375, 4601.48828125, 4596.78466796875, 4591.048828125, 4586.0732421875, 4580.9931640625, 4575.60302734375, 4570.26123046875, 4566.04541015625, 4559.05908203125, 4551.07568359375, 4544.73779296875, 4540.31591796875, 4536.82470703125, 4533.2275390625, 4529.8359375, 4515.24951171875, 4488.91455078125, 4520.8740234375, 4506.1806640625, 4505.78466796875, 4491.39404296875, 4499.9111328125, 4507.95166015625, 4506.04931640625, 4504.2783203125, 4502.669921875, 4501.4697265625], ""mae"": [0.5480519533157349, 0.4876217246055603, 0.47681617736816406, 0.4738563895225525, 0.4721587896347046, 0.4710603952407837, 0.4701811671257019, 0.46974074840545654, 0.46906015276908875, 0.4684520363807678, 0.46804991364479065, 0.4676169455051422, 0.467203825712204, 0.4667133688926697, 0.4663067162036896, 0.46609318256378174, 0.4657299220561981, 0.46554362773895264, 0.465337336063385, 0.4651520848274231, 0.4648105800151825, 0.46456947922706604, 0.4643905758857727, 0.4643218517303467, 0.46415773034095764, 0.463736891746521, 0.4640011489391327, 0.4639807343482971, 0.463876873254776, 0.4638403058052063, 0.46360358595848083, 0.4635356664657593, 0.46359923481941223, 0.46352946758270264, 0.4639889895915985, 0.46388140320777893, 0.4638436436653137, 0.46371209621429443, 0.4637126624584198, 0.46362078189849854, 0.46333983540534973, 0.4629412889480591, 0.46302101016044617, 0.46307411789894104, 0.4628218114376068, 0.4628887474536896], ""root_mean_squared_error"": [0.9806686639785767, 0.9250964522361755, 0.915923535823822, 0.9131379127502441, 0.9120434522628784, 0.9112991094589233, 0.9106197357177734, 0.910085141658783, 0.9097470045089722, 0.9090133309364319, 0.9089029431343079, 0.9085191488265991, 0.9081153869628906, 0.9077240824699402, 0.9073494076728821, 0.9071556925773621, 0.9068405032157898, 0.9066421985626221, 0.9064531922340393, 0.9062661528587341, 0.9059306383132935, 0.905705451965332, 0.9055277109146118, 0.9054428935050964, 0.9052538275718689, 0.8951765298843384, 0.9051249027252197, 0.9044285416603088, 0.9039663672447205, 0.904237687587738, 0.9035750031471252, 0.9023166298866272, 0.9039539098739624, 0.904213547706604, 0.9048489928245544, 0.9047099947929382, 0.9046927690505981, 0.9045343995094299, 0.9045447707176208, 0.9044649600982666, 0.9042519330978394, 0.9012629985809326, 0.9040380716323853, 0.9040532112121582, 0.9011300802230835, 0.9038455486297607], ""val_loss"": [0.19096823036670685, 0.17957289516925812, 0.17644748091697693, 0.1752983182668686, 0.17448848485946655, 0.17386394739151, 0.17344710230827332, 0.17310093343257904, 0.17283548414707184, 0.17259889841079712, 0.17239725589752197, 0.17221792042255402, 0.17209862172603607, 0.17201991379261017, 0.17193585634231567, 0.17184029519557953, 0.17175400257110596, 0.1717073619365692, 0.1716897189617157, 0.171674445271492, 0.17161469161510468, 0.17150916159152985, 0.1714068502187729, 0.17131398618221283, 0.1712358593940735, 0.17116829752922058, 0.171145960688591, 0.171095073223114, 0.1710352897644043, 0.17100320756435394, 0.1709877997636795, 0.17101958394050598, 0.17110447585582733, 0.17120574414730072, 0.17131651937961578, 0.17144675552845, 0.17162609100341797, 0.17176012694835663, 0.1718546599149704, 0.17195077240467072, 0.17197199165821075, 0.17196831107139587, 0.1719038039445877, 0.17173776030540466, 0.17158249020576477, 0.17142610251903534], ""val_mape"": [6545.2578125, 6660.07177734375, 6484.240234375, 6415.81787109375, 6417.81103515625, 6475.587890625, 6513.33935546875, 6511.40087890625, 6474.48388671875, 6421.34130859375, 6349.3291015625, 6257.23193359375, 6167.20703125, 6089.181640625, 6024.43017578125, 5972.52587890625, 5917.59423828125, 5862.935546875, 5816.0078125, 5779.74658203125, 5759.5673828125, 5758.37646484375, 5771.865234375, 5796.05517578125, 5819.6669921875, 5845.46728515625, 5856.50146484375, 5858.419921875, 5875.71728515625, 5902.509765625, 5953.14013671875, 6002.94873046875, 6068.1103515625, 6120.7646484375, 6159.486328125, 6195.38916015625, 6234.21044921875, 6239.326171875, 6233.923828125, 6228.10546875, 6233.2138671875, 6246.39501953125, 6250.5595703125, 6231.111328125, 6212.01611328125, 6177.5263671875], ""val_mae"": [0.46297571063041687, 0.4397028088569641, 0.4343266487121582, 0.43226560950279236, 0.43063604831695557, 0.42915037274360657, 0.4280667304992676, 0.4272691309452057, 0.42666035890579224, 0.4261769950389862, 0.4257999360561371, 0.4255671501159668, 0.4254874587059021, 0.42545267939567566, 0.42543965578079224, 0.42544734477996826, 0.42556244134902954, 0.4257536828517914, 0.4260044991970062, 0.42608845233917236, 0.4259050190448761, 0.4255242347717285, 0.4250798523426056, 0.42457592487335205, 0.42421573400497437, 0.42392027378082275, 0.4238031804561615, 0.42378756403923035, 0.42359766364097595, 0.423326700925827, 0.4229392111301422, 0.4227272570133209, 0.4225647747516632, 0.42252689599990845, 0.4225976765155792, 0.4227474331855774, 0.42300763726234436, 0.4233112931251526, 0.4236193001270294, 0.42390596866607666, 0.42395976185798645, 0.4239320456981659, 0.42384159564971924, 0.4236687123775482, 0.42354270815849304, 0.4234762191772461], ""val_root_mean_squared_error"": [0.7570037245750427, 0.7399203777313232, 0.7344178557395935, 0.7326093912124634, 0.731536328792572, 0.7308399081230164, 0.7304571270942688, 0.7300479412078857, 0.7297519445419312, 0.7294682264328003, 0.7292395234107971, 0.7289742231369019, 0.7287850975990295, 0.7286797165870667, 0.7285242676734924, 0.7283033132553101, 0.7280313372612, 0.7278177738189697, 0.7276428937911987, 0.7275672554969788, 0.7275062799453735, 0.7274171710014343, 0.7273704409599304, 0.7273898720741272, 0.7273672819137573, 0.7273328900337219, 0.7273324131965637, 0.7271876931190491, 0.7271087169647217, 0.7271719574928284, 0.7273491024971008, 0.7275509834289551, 0.7278685569763184, 0.7281801700592041, 0.728456974029541, 0.7287476062774658, 0.7291191816329956, 0.7293359637260437, 0.7294377684593201, 0.7295438051223755, 0.7295554876327515, 0.7295371890068054, 0.7293794751167297, 0.7289775013923645, 0.7285811901092529, 0.7281544208526611]}",MODEL_21mai12-00h06m28s_#LearningRate=0.000459_#Layers=2_#Length=25_#BatchSize=128
2,15,['PM 2.5'],15,1,1,"(0.6, 0.2, 0.2)",100,/home/gabriel-gatti/Documents/air_pollution_forecast/models/,/home/gabriel-gatti/Documents/air_pollution_forecast/resultados/,"['Latitude', 'Longitude']",2,0.0,128,43,0.0026552380714078266,"[0.24018152058124542, 6418.4501953125, 0.530386209487915, 0.8544016480445862]","{""class_name"": ""Sequential"", ""config"": {""name"": ""sequential_2"", ""layers"": [{""class_name"": ""InputLayer"", ""config"": {""batch_input_shape"": [null, 43, 8], ""dtype"": ""float32"", ""sparse"": false, ""ragged"": false, ""name"": ""input_3""}}, {""class_name"": ""LSTM"", ""config"": {""name"": ""lstm_2"", ""trainable"": true, ""dtype"": ""float32"", ""return_sequences"": false, ""return_state"": false, ""go_backwards"": false, ""stateful"": false, ""unroll"": false, ""time_major"": false, ""units"": 11, ""activation"": ""tanh"", ""recurrent_activation"": ""sigmoid"", ""use_bias"": true, ""kernel_initializer"": {""class_name"": ""GlorotUniform"", ""config"": {""seed"": null}}, ""recurrent_initializer"": {""class_name"": ""Orthogonal"", ""config"": {""gain"": 1.0, ""seed"": null}}, ""bias_initializer"": {""class_name"": ""Zeros"", ""config"": {}}, ""unit_forget_bias"": true, ""kernel_regularizer"": null, ""recurrent_regularizer"": null, ""bias_regularizer"": null, ""activity_regularizer"": null, ""kernel_constraint"": null, ""recurrent_constraint"": null, ""bias_constraint"": null, ""dropout"": 0.0, ""recurrent_dropout"": 0.0, ""implementation"": 2}}, {""class_name"": ""Dense"", ""config"": {""name"": ""dense_2"", ""trainable"": true, ""dtype"": ""float32"", ""units"": 1, ""activation"": ""tanh"", ""use_bias"": true, ""kernel_initializer"": {""class_name"": ""GlorotUniform"", ""config"": {""seed"": null}}, ""bias_initializer"": {""class_name"": ""Zeros"", ""config"": {}}, ""kernel_regularizer"": null, ""bias_regularizer"": null, ""activity_regularizer"": null, ""kernel_constraint"": null, ""bias_constraint"": null}}]}, ""keras_version"": ""2.4.0"", ""backend"": ""tensorflow""}","{""loss"": [0.2166012078523636, 0.20925256609916687, 0.2077348232269287, 0.20687192678451538, 0.2059885412454605, 0.20538543164730072, 0.20498095452785492, 0.20456083118915558, 0.20425187051296234, 0.20406073331832886, 0.20373491942882538, 0.2036093920469284, 0.20345830917358398, 0.20331569015979767, 0.2032560408115387, 0.20307300984859467, 0.20296116173267365, 0.20281988382339478, 0.2027290016412735, 0.20263516902923584, 0.20255324244499207, 0.20246881246566772], ""mape"": [4622.64892578125, 4577.4765625, 4439.396484375, 4361.81103515625, 4345.95361328125, 4338.43310546875, 4330.501953125, 4292.953125, 4316.39404296875, 4324.330078125, 4314.984375, 4320.0126953125, 4282.048828125, 4304.30908203125, 4333.97607421875, 4342.5029296875, 4351.08935546875, 4350.0712890625, 4335.57275390625, 4353.90283203125, 4334.1611328125, 4348.65771484375], ""mae"": [0.4790111482143402, 0.46788546442985535, 0.4654560685157776, 0.4641849100589752, 0.4628658592700958, 0.4619603157043457, 0.46142664551734924, 0.4607754051685333, 0.46034976840019226, 0.4601300060749054, 0.4596790373325348, 0.45946192741394043, 0.4592219293117523, 0.4590221345424652, 0.4589405953884125, 0.45867231488227844, 0.4584799110889435, 0.45828843116760254, 0.45813629031181335, 0.45800167322158813, 0.4578827917575836, 0.457806259393692], ""root_mean_squared_error"": [0.9237914681434631, 0.9097440838813782, 0.9072474837303162, 0.9058476090431213, 0.9044519662857056, 0.903485894203186, 0.9028637409210205, 0.9022054672241211, 0.9016801714897156, 0.9012995958328247, 0.9007201194763184, 0.9004535675048828, 0.900185227394104, 0.8998872637748718, 0.8997063636779785, 0.8993509411811829, 0.8991621136665344, 0.898901104927063, 0.8988083004951477, 0.8986620903015137, 0.8985370993614197, 0.898371160030365], ""val_loss"": [0.17858628928661346, 0.17705756425857544, 0.17630316317081451, 0.17617002129554749, 0.17553335428237915, 0.17550238966941833, 0.1752452552318573, 0.17524653673171997, 0.17541541159152985, 0.17536672949790955, 0.1761624813079834, 0.17628364264965057, 0.17652025818824768, 0.17579270899295807, 0.176060289144516, 0.17628557980060577, 0.17651163041591644, 0.17648224532604218, 0.1771550327539444, 0.17755760252475739, 0.17812997102737427, 0.17848147451877594], ""val_mape"": [5461.7412109375, 5351.07666015625, 5248.2822265625, 5254.50244140625, 5267.22802734375, 5285.28759765625, 5210.03271484375, 5265.96484375, 5307.25048828125, 5387.30224609375, 5423.58984375, 5455.73779296875, 5492.24658203125, 5618.2939453125, 5672.998046875, 5708.05517578125, 5808.38525390625, 6001.1337890625, 6034.60791015625, 6087.54541015625, 6097.6015625, 6042.6826171875], ""val_mae"": [0.43968677520751953, 0.4375818967819214, 0.43746641278266907, 0.4383840560913086, 0.43698742985725403, 0.4369547367095947, 0.4359699785709381, 0.4353390038013458, 0.43503257632255554, 0.43404287099838257, 0.43482208251953125, 0.4344923794269562, 0.4349772334098816, 0.4336654543876648, 0.434446781873703, 0.43514934182167053, 0.43565863370895386, 0.43510565161705017, 0.43678659200668335, 0.43756142258644104, 0.4389888346195221, 0.43979522585868835], ""val_root_mean_squared_error"": [0.73670494556427, 0.734269380569458, 0.7319915890693665, 0.7309879660606384, 0.7298644781112671, 0.7294849753379822, 0.7292110919952393, 0.7295376062393188, 0.7301949858665466, 0.7304702401161194, 0.7320757508277893, 0.7324974536895752, 0.7329376339912415, 0.7315837144851685, 0.7319216728210449, 0.7322723269462585, 0.7325991988182068, 0.7329943776130676, 0.7338212728500366, 0.7343698143959045, 0.7349570393562317, 0.7352972030639648]}",MODEL_21mai12-00h13m07s_#LearningRate=0.002655_#Layers=2_#Length=43_#BatchSize=128
